"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1"
1,"N(0.2,1)",AM,7,4580.298583636296,4580.298583636296,0.17919725136320905,0.9950470714833914,0.18356510486795014,-0.49027561743708736,0.8542564951814119
1,"N(0.2,1)",AM,8,4759.415344267206,4759.415344267206,0.21544027125836973,0.9976392234263236,0.2218163230410456,-0.45967388519208885,0.8926626458861113
1,"N(0.2,1)",AM,9,4848.266835857237,4848.266835857237,0.21283763532477887,1.0217898376551253,0.20517542259436752,-0.4768649750342623,0.8850364225389256
1,"N(0.2,1)",AM,10,4780.480863906225,4780.480863906225,0.2006638727553772,0.9940013593966319,0.19966306163350772,-0.46539455725021495,0.8744681062343121
1,"N(10,1)",RRWMH,1,4636.041570306381,4636.041570306381,9.9965609830133,0.9890244992791111,9.998342210576608,9.327915020534535,10.661246126784363
1,"N(10,1)",RRWMH,2,4655.433112282917,4655.433112282917,9.974558396530966,0.9974699289767699,9.978450402072374,9.299597442854813,10.651927004399306
1,"N(10,1)",RRWMH,3,4876.3356204591355,4876.3356204591355,10.004839062831108,1.0197087807685534,10.01132470181124,9.316968451063378,10.690844233071468
1,"N(10,1)",RRWMH,4,4780.600989633068,4780.600989633068,10.00266463107708,0.9958646696521072,10.004370674890438,9.341783918788828,10.664696207228626
1,"N(10,1)",RRWMH,5,4968.168384242053,4968.168384242053,9.990458469412307,1.0042531111644877,9.989395506721351,9.317385505124204,10.67270872133336
1,"N(10,1)",RRWMH,6,4415.400650522432,4415.400650522432,9.98824212369013,1.0126473643597933,9.98610819939233,9.314884387833311,10.662607700223518
1,"N(10,1)",RRWMH,7,4687.2575622983395,4687.2575622983395,9.968566842584025,1.0270964085578385,9.968329425772133,9.285594880205105,10.656462352519213
1,"N(10,1)",RRWMH,8,4799.956897029856,4799.956897029856,9.99457032022724,0.9743444216887411,10.006498201878744,9.32792840245504,10.675906286452145
1,"N(10,1)",RRWMH,9,4752.561899583193,4752.561899583193,10.009361804140614,1.0027226420548487,10.008789874253424,9.33557841183478,10.683463785028858
1,"N(10,1)",RRWMH,10,4422.381552175554,4422.381552175554,10.008665343442239,1.0001921482832472,10.008472022702582,9.335841028730062,10.685872715720791
1,"N(10,1)",AM,1,5067.63592524632,5067.63592524632,9.993985223991835,0.9730257860568798,9.987308554407525,9.32477734945649,10.64760684139415
1,"N(10,1)",AM,2,4583.639622866377,4583.639622866377,9.98016661373851,1.0146104054982459,9.979711121068286,9.301033030678456,10.657335266604946
1,"N(10,1)",AM,3,4726.769323374848,4726.769323374848,9.999689496632643,0.996965786637773,9.998258323198058,9.33939958330181,10.679154739479147
1,"N(10,1)",AM,4,4707.051174301848,4707.051174301848,10.001266756329413,0.9787533569579665,10.006615679467695,9.334776747750073,10.672673975553375
1,"N(10,1)",AM,5,4843.501414599081,4843.501414599081,10.020870318328605,1.0114397703012372,10.02701806524642,9.335395944847617,10.698592414856929
1,"N(10,1)",AM,6,5064.771520778956,5064.771520778956,10.010955150651808,1.0047753918204307,10.011003509568269,9.328604524443344,10.68855923239019
1,"N(10,1)",AM,7,4514.453181833691,4514.453181833691,9.988420329481583,0.9939378124504543,9.981146209802002,9.317756270963013,10.658836228739755
1,"N(10,1)",AM,8,5158.404436687675,5158.404436687675,10.017302254047587,1.0015776729974561,10.021028735680352,9.339484494142221,10.700415863245684
1,"N(10,1)",AM,9,4958.89855931098,4958.89855931098,10.00721110228566,1.0328088490949199,9.990965976291928,9.316634709134368,10.687747425467222
1,"N(10,1)",AM,10,4859.765548845298,4859.765548845298,9.9972344853934,0.9914139498092425,10.004666287626659,9.332762728574426,10.675107532394339
1,"N(2,0.2²)",RRWMH,1,8921.932519045638,8921.932519045638,1.9977828676379839,0.04024364028819516,1.9953038653449795,1.8617525041966483,2.1334524797859014
1,"N(2,0.2²)",RRWMH,2,9433.143961662836,9433.143961662836,1.9967799102972863,0.039126924192052215,1.9968230082028835,1.8632290872506032,2.1313898416969534
1,"N(2,0.2²)",RRWMH,3,8499.323334043287,8499.323334043287,2.0016919478713024,0.04149966721831255,2.000693653630026,1.8643996738339408,2.1420591728812233
1,"N(2,0.2²)",RRWMH,4,9529.244695033789,9529.244695033789,1.9995127165117812,0.03956789484443668,1.9994123469366558,1.8658745611857088,2.1348567363202755
1,"N(2,0.2²)",RRWMH,5,8880.922717296384,8880.922717296384,2.0006366388640644,0.039691244642996004,2.001984300676807,1.8674092939936262,2.131534412942289
1,"N(2,0.2²)",RRWMH,6,9239.636776886224,9239.636776886224,1.997335564334194,0.04083071197492183,1.9983948795111197,1.8579879376167978,2.13442434905851
1,"N(2,0.2²)",RRWMH,7,8603.01764480518,8603.01764480518,1.9979011266593272,0.04040667485380789,1.9964562136887458,1.8600395946684172,2.13415813793202
1,"N(2,0.2²)",RRWMH,8,9280.088091112862,9280.088091112862,1.9989968440234602,0.04026530437579057,1.9999785835696051,1.8629260955605242,2.135674631707045
1,"N(2,0.2²)",RRWMH,9,8887.739079480492,8887.739079480492,1.9999304910048183,0.039666650087478494,2.001113192298711,1.8656965544710506,2.1353743882405487
1,"N(2,0.2²)",RRWMH,10,9289.900513210407,9289.900513210407,2.0017517516183783,0.04111232000721632,2.0010303366486135,1.864288520429057,2.138075620595048
1,"N(2,0.2²)",AM,1,4959.966902680907,4959.966902680907,1.998396950236693,0.03982886770190852,1.9973177629740708,1.8645765009799375,2.1306674807097576
1,"N(2,0.2²)",AM,2,4567.390521649021,4567.390521649021,1.9968068065361757,0.04041244888089057,1.9976345319146303,1.861200200900973,2.1320429837864685
1,"N(2,0.2²)",AM,3,4833.453490442294,4833.453490442294,1.9985606715111224,0.03958170246320858,1.9992168922482418,1.8656614870058545,2.1348363318177452
1,"N(2,0.2²)",AM,4,4710.4211718415545,4710.4211718415545,2.000394737582712,0.039228366553458294,2.0015955439336444,1.8668532178324326,2.1351273961519817
1,"N(2,0.2²)",AM,5,4808.853259898825,4808.853259898825,2.0034395002683425,0.04075528555674168,2.0043400847277213,1.8677093493477832,2.1389311951318293
1,"N(2,0.2²)",AM,6,5005.624496506116,5005.624496506116,2.0016593932520443,0.04069727441152082,2.000902021831552,1.86562936532261,2.138815782629215
1,"N(2,0.2²)",AM,7,4660.302327981406,4660.302327981406,1.9963571549942327,0.039282142298386,1.9956771237612008,1.8633169438701183,2.1308673333970494
1,"N(2,0.2²)",AM,8,4906.91199680469,4906.91199680469,2.003075880095927,0.04040824905337459,2.0057538205574743,1.867237477875237,2.138220572836598
1,"N(2,0.2²)",AM,9,4872.51114497321,4872.51114497321,2.0007156582705834,0.04087314854833046,1.9970971624547185,1.863096223117974,2.1352730251556498
1,"N(2,0.2²)",AM,10,4996.6720202418755,4996.6720202418755,1.9997278186570968,0.03949553088011859,1.999729228991064,1.866282720766399,2.1337947931301
1,"N(0.2,0.2²)",RRWMH,1,8900.777942123297,8900.777942123297,0.19761805741986274,0.040661108568878584,0.1952406402652203,0.05929636320347641,0.3340229836059004
1,"N(0.2,0.2²)",RRWMH,2,9681.822756597709,9681.822756597709,0.19586264677087825,0.03986130496351622,0.19696540828200249,0.06319481452536652,0.33003946490731884
