"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1","ESS2","mean2","var2","median2","Q1_2","Q3_2"
2,"ρ=-0.3",AM,7,3800.5467639776025,3674.5315595278703,2.000437982494477,0.25046967910791906,1.9985605234745838,1.6647300506255602,2.3389035144018795,3926.561968427335,3.008784552891219,4.076046406460417,3.0289498138204918,1.6627019164748518,4.354295889727231
2,"ρ=-0.3",AM,8,3562.7536976086935,3493.3777450251587,1.9896922478630965,0.24659106817326304,1.9897787967799598,1.6566049679663681,2.331211834416173,3632.1296501922284,3.029816997014779,4.068248221162516,3.047827725762981,1.6575184450839862,4.395955786014374
2,"ρ=-0.3",AM,9,4086.343529108831,4072.871645829823,1.9906240473391954,0.24594872252327704,1.9904260650327692,1.65066974654147,2.3307040814963114,4099.8154123878385,3.008746501657503,3.981486874181636,3.001280951519661,1.6759686879098743,4.362940317847318
2,"ρ=-0.3",AM,10,4276.290519682934,4280.7191016861,2.0040989533225395,0.24440023045277037,2.004834874729123,1.6715335196633518,2.3427126516656362,4271.861937679769,2.9947742073829606,3.9801926057610224,2.997617340655905,1.6629086077407123,4.306966986252574
2,"ρ=0.5",RRWMH,1,3559.364766389673,5244.889826928439,2.0008401891532284,0.2475444731117884,2.003753367292038,1.6640129628338591,2.336923225112697,1873.8397058509074,3.030170873888057,3.8491108091044506,3.0305426742398365,1.7107599218933016,4.352053705547156
2,"ρ=0.5",RRWMH,2,3033.043474957937,4476.484978299734,2.0029181899409756,0.24661421775691306,2.0058407698884153,1.6690811295075931,2.3329983697256838,1589.6019716161404,3.084298723444237,4.079406590356715,3.0878747465072616,1.7372102999079315,4.451828795090827
2,"ρ=0.5",RRWMH,3,3539.3369315915706,5080.809222640699,2.0090039854343558,0.24454313108309744,2.014116065523639,1.6716090949795537,2.343452933236886,1997.8646405424424,3.0787961823010943,3.9535980930096724,3.086473949057087,1.7411469339426475,4.430140435388094
2,"ρ=0.5",RRWMH,4,3260.6305541450397,4868.554371341847,2.0056754557869705,0.2481075809171962,2.0054377483786663,1.663811032069348,2.3460680397161515,1652.7067369482318,3.0034640289668726,4.2343372515337325,2.9985328814187335,1.6075442641398636,4.378908601977316
2,"ρ=0.5",RRWMH,5,3605.656374539664,5265.781465591197,1.9976310919705467,0.25465386773202736,1.9994969389133395,1.6599481246448256,2.3372234415433115,1945.5312834881306,2.9940653368527337,4.103754311862506,2.9955799527241145,1.6144791950078923,4.360600892052215
2,"ρ=0.5",RRWMH,6,3567.426573453695,5200.840291509397,1.9919892434539943,0.24823526656018702,1.9878703242917268,1.6547677313572013,2.330127625749278,1934.0128553979928,2.932158815656937,3.871164222456933,2.9543197486528827,1.6059728107042863,4.265463850365258
2,"ρ=0.5",RRWMH,7,3292.5237218121074,4803.1981559647165,1.986560676772139,0.2526000390275245,1.9805943269699684,1.651831583112052,2.3318390311668415,1781.8492876594987,2.908336345566823,3.996296299381843,2.916088092274002,1.5764310459170128,4.274082009452368
2,"ρ=0.5",RRWMH,8,3260.138483994729,4746.511214413906,1.9933258441404484,0.2550218044178494,1.995113593674884,1.6509002400747073,2.3348035665483082,1773.7657535755525,2.986186528544554,4.097480195791279,2.946332735255187,1.5926533457980168,4.347392697357707
2,"ρ=0.5",RRWMH,9,3246.1241707218023,4794.250769602368,1.9896136279204815,0.25070819286262136,1.991507168302122,1.6541722515539714,2.323083620482816,1697.9975718412375,2.953234557426415,3.9208919171111667,2.962095275611791,1.6435758593116527,4.2874957299564365
2,"ρ=0.5",RRWMH,10,3460.6938856437823,5017.131353375893,2.0079362263279554,0.23680105018587305,2.0069128018887388,1.6723933340350858,2.3371636112164262,1904.2564179116716,2.981127593153456,3.880697247863088,2.982372999781896,1.638328200091459,4.282106385446246
2,"ρ=0.5",AM,1,3777.596764741672,3834.5880701222186,1.9980665204005676,0.26345193555408786,2.0025142861287453,1.6555383367196579,2.3507595125411953,3720.6054593611248,2.9960826260279396,4.07411233966528,2.9875231025473035,1.6319145876053438,4.355721663444072
2,"ρ=0.5",AM,2,3925.82194712532,4181.072412074839,2.0018998491239173,0.24518976146481286,2.003281923769881,1.6637941787828192,2.334146944922556,3670.571482175801,2.9307187521570865,3.883645049904599,2.9484958406698274,1.6000396785208673,4.266972456893317
2,"ρ=0.5",AM,3,3982.036323332105,4153.496981201159,1.9924409393953482,0.2510581526859732,1.9888774379752434,1.652668667092639,2.3317828109494267,3810.5756654630513,3.0049054206015122,4.049535916026365,2.97318588431284,1.6269792680912434,4.343504744327865
2,"ρ=0.5",AM,4,4020.2068495266994,4201.5427502532,2.0033989774655088,0.24671380902326856,1.9969308482811239,1.6694677423328943,2.3349749265731066,3838.870948800198,3.0278232208273135,3.983346454125371,3.020277924874957,1.6860522138859673,4.389211401689509
2,"ρ=0.5",AM,5,3915.145559824203,3996.564209852356,2.0050963876200747,0.2549117681058979,2.0045481751646483,1.6650295168741138,2.3473651084987055,3833.7269097960493,3.0240234345268857,4.068121704996949,3.0063650024489172,1.6831749281858137,4.364851788335647
2,"ρ=0.5",AM,6,4053.4436159339366,4237.829756821168,1.9958127888195134,0.24550541832838935,1.9981108549469966,1.6604939378465935,2.330334461330856,3869.057475046705,3.001135517151419,4.0237850386340615,3.000767696656611,1.6304531937966287,4.356891727023837
2,"ρ=0.5",AM,7,3903.0820197603252,3794.184823656228,1.99826346947647,0.24707318927597033,1.9969138024943507,1.6586351012053662,2.3300240783000477,4011.9792158644223,3.008997003299488,4.108130164112438,3.019301320222787,1.662977816866528,4.3671623599403295
2,"ρ=0.5",AM,8,3785.0714937422117,3685.7440706162756,1.9952515337938526,0.2464328218373324,1.992067656699331,1.661776713694006,2.3326481086475166,3884.3989168681474,2.999814421724351,4.018864342138013,2.976632985703705,1.6372242595927313,4.345557128971035
